Requirement Type,Credits Needed,Classes Needed,Possible Classes,Attributes
"CE Advanced Chemistry
(Traditional)",N/A,6,"CHEM351, CHEM351L, 
CHEM301, CHEM302, CHEM311L,
CHEM300 or CHEM352 or MATH221
or MATH301 or MATH404 or STAT355","UL, ResCred,
CeTT"
"CE Engineering Professional 
Courses (Traditional)",41,13,"ENES101, ENES110 or ENME110, 
ENCH215, ENCH225L, ENCH300, 
ENCH425, ENCH427, ENCH437L, 
ENCH440, ENCH442, ENCH444, 
ENCH445, ENCH446","UL, ResCred,
CeTT"
CE Electives (Traditional),9,3,"ENCH 412, ENCH 414, ENCH 450/650, 
ENCH 456/656, ENCH 459/659, ENCH 468/648, ENCH 470, ENCH 472, ENCH 474, ENCH 476, ENCH 482/682, ENCH 484/693, ENCH 486/686, ENCH 489, ENCH 610, ENCH 615, ENCH 620, ENCH 630, ENCH 640, ENCH 642, ENCE 612, ENCE 614, ENCE 640, ENCE 644, ENCE 646, ENCE 648, ENCE 660, ENME 220, ENME 221, ENME 301, ENME 303, ENME 360, ENME 405, ENCE 621, ENCH 654","UL, ResCred,
CeTT"
English Composition,3,1,ENGL100,GED
Art/Humanities,9,3,Arts/Humanities Course,GED
Social Sciences,9,3,Social Science Course,GED
Science,8,2,"BIOL141, BIOL142, CHEM101, CHEM102, PHYS121, PHYS122", GED
Science Lab,2,1,"SCI101L, CHEM102L, PHYS122L, GES286",GED
Culture,3,1,Culture Course,GED
Language,3,1,"ARBC201, CHIN201, FREN201, GERM201, HEBR201, HIND201, JPNS201, KORE201, RUSS201, SPAN201, WOL201",GED
